Province,District,Male emp. Agriculture,Male emp. Industry,Male emp. Services,Total,Female emp. Agriculture,Female emp. Industry,Female emp. Services,Female emp. Total,Total emp. Agriculture,Total emp. Industry,Total emp. Services,Total employment
Western,Colombo,1.1,20.6,42.9,64.7,1.3,20,50.5,71.7,1.2,20.4,45.4,67
Western,Gampaha,3.3,31.4,33.7,68.5,1,34.5,35.7,71.2,2.6,32.4,34.3,69.4
Western,Kalutara,5.3,23.8,35.6,64.7,11,19.4,35.2,65.6,7,22.5,35.5,65
Central,Kandy,7.6,20.1,35.2,62.9,16.2,20.9,32.9,70.1,10.5,20.4,34.4,65.4
Central,Matale,5.5,14.2,27.9,47.6,6.1,10,18.5,34.6,5.7,12.8,24.6,43.1
Central,Nuwara Eliya,37.4,10.2,19.8,67.3,52.4,7.1,10.7,70.1,43.7,8.9,15.9,68.5
Southern,Galle,15.2,21.1,23.7,60,14.8,17.6,24.7,57.1,15,20,24,59
Southern,Matara,13.3,21.6,24.5,59.4,12.9,18.8,28,59.8,13.2,20.7,25.6,59.5
Southern,Hambantota,9.4,14.6,18.9,42.8,3.1,13.1,21.7,37.9,7.5,14.1,19.7,41.3
Northern,Jaffna,8.1,22.6,30.7,61.3,10.8,7.3,43.4,61.5,8.8,18.5,34.1,61.4
Northern,Mannar,9.1,9.4,25,43.5,3.3,3.1,66.5,72.9,8.3,8.5,31.1,47.8
Northern,Vavunia,10,20.3,27.1,57.4,7.7,6.4,35.2,49.3,9.3,16.2,29.5,55
Northern,Mullativu,14,10.2,17.7,42,16,1.4,40.9,58.3,14.5,8.3,22.7,45.5
Northern,Kilinochchi,6.8,18.8,20.8,46.4,6.9,9.3,43,59.1,6.8,17.2,24.6,48.6
Eastern,Batticaloa,20.9,18.1,26,64.9,2.1,4,33.2,39.3,16.6,14.8,27.6,59
Eastern,Ampara,13.8,19,26.9,59.7,1.8,4.1,44.7,50.6,11.3,15.9,30.6,57.8
Eastern,Trincomalee,16.1,11.1,31.5,58.7,0,8.1,32.4,40.4,12.4,10.4,31.7,54.5
North Western,Kurunegala,8.2,20.4,21.3,49.9,7.2,17.7,25.7,50.6,7.9,19.5,22.8,50.1
North Western,Puttalam,9.3,19.4,23,51.6,6.8,17.2,27.1,51.1,8.6,18.8,24.1,51.5
North Central,Aqnuradhapura,3.7,6,27,36.7,1.7,5.5,18,25.2,2.9,5.8,23.5,32.2
North Central,Polonnaruwa,9,12.2,15.8,37,3.3,9,17.7,29.9,7.3,11.3,16.4,34.9
Uva,Badulla,17,9.9,21.5,48.4,23.7,4.8,17.3,45.8,19.6,7.9,19.9,47.4
Uva,Monaragala,2.9,5.5,25.9,34.3,1.9,4.8,20.1,26.8,2.6,5.2,23.9,31.7
Sabaragamuwa,Ratnapura,13.4,20.9,16,50.4,22.5,12.2,17,51.7,16.5,18,16.3,50.8
Sabaragamuwa,Kegalle,11.8,17,28.8,57.6,15,25.2,22.4,62.6,12.9,19.9,26.6,59.4
