,District,Rooms,Male emp. Agriculture,Male emp. Industry,Male emp. Services,Total Male Employment,Female emp. Agriculture,Female emp. Industry,Female emp. Services,Female emp. Total,Total emp. Agriculture,Total emp. Industry,Total emp. Services,Total employment,Abduction / Kidnapping,Arson,Mischief  over Rs.5000/=,H.B. & Theft,Grevious  Hurt,Hurt  by Knife etc.,Homicide/Abet. To commit suicide,Attempted Homicide,Rape / Incest,Riot,Robbery,Unnatural Offence/Grve Sexual Abuse,Extortion,"Cheating/Misappropriation C.B. Trust > Rs.100,000",Theft of Property (praedial produce > Rs.5000),Counterfeiting Currency,Offences against  State,Cruelty & sexual  exploitation of children ,Procuration / Trafficking,Offences under the Offensive weapons Act.,Possess Automatic/ Repeater Shot Guns,"Offence under Poisons, Opium & Dangerous Drugs"
0,Ampara,610,13.8,19,26.9,59.7,1.8,4.1,44.7,50.6,11.3,15.9,30.6,57.8,29,31,36,239,69,38,16,12,37,1,66,35,2,232,242,1,0,1,2,1,0,1
1,Anuradhapura,979,3.7,6,27,36.7,1.7,5.5,18,25.2,2.9,5.8,23.5,32.2,68,47,107,834,108,72,24,15,199,4,242,36,9,270,584,6,0,23,2,4,1,7
2,Badulla,765,17,9.9,21.5,48.4,23.7,4.8,17.3,45.8,19.6,7.9,19.9,47.4,38,14,42,359,112,85,28,11,73,3,128,25,1,138,296,1,0,2,0,3,0,20
3,Batticaloa,883,20.9,18.1,26,64.9,2.1,4,33.2,39.3,16.6,14.8,27.6,59,21,33,38,227,56,89,11,2,52,0,89,2,4,225,221,1,0,6,3,1,1,3
4,Colombo,7519,1.1,20.6,42.9,64.7,1.3,20,50.5,71.7,1.2,20.4,45.4,67,154,22,140,2996,248,379,62,21,120,3,1542,23,37,1736,2809,4,0,52,1,21,6,573
5,Galle,5287,15.2,21.1,23.7,60,14.8,17.6,24.7,57.1,15,20,24,59,73,38,32,748,81,110,50,13,133,0,481,33,4,249,363,3,0,4,3,26,2,65
6,Gampaha,3543,3.3,31.4,33.7,68.5,1,34.5,35.7,71.2,2.6,32.4,34.3,69.4,159,27,100,3235,140,331,76,16,141,0,1413,3,33,1266,1910,9,0,67,2,26,3,75
7,Hambantota,1695,9.4,14.6,18.9,42.8,3.1,13.1,21.7,37.9,7.5,14.1,19.7,41.3,53,23,33,487,16,56,21,12,106,1,181,38,2,218,274,1,0,1,0,8,2,56
8,Jaffna,397,8.1,22.6,30.7,61.3,10.8,7.3,43.4,61.5,8.8,18.5,34.1,61.4,23,6,46,204,42,53,23,2,60,0,91,0,0,211,191,0,1,9,1,2,0,3
9,Kalutara,3285,5.3,23.8,35.6,64.7,11,19.4,35.2,65.6,7,22.5,35.5,65,72,17,50,1120,62,185,35,7,108,0,390,11,4,301,725,0,0,41,0,4,0,83
10,Kandy,2789,7.6,20.1,35.2,62.9,16.2,20.9,32.9,70.1,10.5,20.4,34.4,65.4,62,30,68,918,143,226,20,13,123,1,285,53,7,349,631,6,0,28,1,5,1,6
11,Kegalle,331,11.8,17,28.8,57.6,15,25.2,22.4,62.6,12.9,19.9,26.6,59.4,60,42,58,997,59,275,26,3,123,0,279,34,1,177,474,1,0,22,0,3,1,6
12,Kilinochchi,41,6.8,18.8,20.8,46.4,6.9,9.3,43,59.1,6.8,17.2,24.6,48.6,7,3,6,71,25,40,4,4,27,0,27,0,1,73,140,0,0,7,1,4,1,0
13,Kurunegala,421,8.2,20.4,21.3,49.9,7.2,17.7,25.7,50.6,7.9,19.5,22.8,50.1,91,53,60,952,73,191,58,12,207,1,297,74,11,537,668,1,0,7,1,10,0,10
14,Mannar,34,9.1,9.4,25,43.5,3.3,3.1,66.5,72.9,8.3,8.5,31.1,47.8,6,7,13,43,11,15,4,3,15,0,10,0,0,62,61,0,0,7,0,2,0,4
15,Matale,1692,5.5,14.2,27.9,47.6,6.1,10,18.5,34.6,5.7,12.8,24.6,43.1,30,14,29,269,66,71,14,7,76,0,85,22,0,92,165,0,0,2,0,0,1,20
16,Matara,1190,13.3,21.6,24.5,59.4,12.9,18.8,28,59.8,13.2,20.7,25.6,59.5,51,28,26,555,40,101,29,6,111,0,196,11,7,189,258,0,0,41,5,7,0,11
17,Moneragala,450,2.9,5.5,25.9,34.3,1.9,4.8,20.1,26.8,2.6,5.2,23.9,31.7,29,16,22,334,27,37,24,13,77,0,78,33,0,39,174,0,0,2,0,3,0,44
18,Mullaitivu,23,14,10.2,17.7,42,16,1.4,40.9,58.3,14.5,8.3,22.7,45.5,5,4,3,30,15,7,3,3,9,0,10,0,0,13,56,0,0,0,0,1,0,0
19,Nuwara Eliya,1419,37.4,10.2,19.8,67.3,52.4,7.1,10.7,70.1,43.7,8.9,15.9,68.5,21,10,32,190,96,84,17,13,43,1,48,4,1,107,154,2,0,8,0,0,0,2
20,Polonnaruwa,625,9,12.2,15.8,37,3.3,9,17.7,29.9,7.3,11.3,16.4,34.9,42,17,31,283,48,74,9,5,72,0,96,10,1,124,217,4,0,41,1,1,3,1
21,Puttalam,1014,9.3,19.4,23,51.6,6.8,17.2,27.1,51.1,8.6,18.8,24.1,51.5,55,21,26,438,25,105,22,8,92,0,149,29,1,224,278,1,0,3,0,9,5,12
22,Ratnapura,466,13.4,20.9,16,50.4,22.5,12.2,17,51.7,16.5,18,16.3,50.8,56,50,68,900,101,198,46,19,130,0,295,57,2,248,487,3,0,7,1,6,1,20
23,Trincomalee,590,16.1,11.1,31.5,58.7,0,8.1,32.4,40.4,12.4,10.4,31.7,54.5,17,23,18,210,50,42,13,4,39,0,35,15,1,123,176,0,0,1,0,4,1,1
24,Vavuniya,81,10,20.3,27.1,57.4,7.7,6.4,35.2,49.3,9.3,16.2,29.5,55,10,9,11,120,13,6,10,0,15,0,32,6,2,129,136,1,1,2,1,9,0,5
