"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,217,"LKA","Sri Lanka",1,"Ampara","Distrikkaya","District",NA,"Amparai"
2,217,"LKA","Sri Lanka",2,"Anuradhapura","Distrikkaya","District",NA,NA
3,217,"LKA","Sri Lanka",3,"Badulla","Distrikkaya","District",NA,NA
4,217,"LKA","Sri Lanka",4,"Batticaloa","Distrikkaya","District",NA,NA
5,217,"LKA","Sri Lanka",5,"Colombo","Distrikkaya","District",NA,NA
6,217,"LKA","Sri Lanka",6,"Galle","Distrikkaya","District",NA,NA
7,217,"LKA","Sri Lanka",7,"Gampaha","Distrikkaya","District",NA,NA
8,217,"LKA","Sri Lanka",8,"Hambantota","Distrikkaya","District",NA,NA
9,217,"LKA","Sri Lanka",9,"Jaffna","Distrikkaya","District",NA,NA
10,217,"LKA","Sri Lanka",10,"Kalutara","Distrikkaya","District",NA,NA
11,217,"LKA","Sri Lanka",11,"Kandy","Distrikkaya","District",NA,"Maha Nuwara"
12,217,"LKA","Sri Lanka",12,"Kegalle","Distrikkaya","District",NA,"Kegalla"
13,217,"LKA","Sri Lanka",13,"Kilinochchi","Distrikkaya","District",NA,NA
14,217,"LKA","Sri Lanka",14,"Kurunegala","Distrikkaya","District",NA,NA
15,217,"LKA","Sri Lanka",15,"Mannar","Distrikkaya","District",NA,NA
16,217,"LKA","Sri Lanka",16,"Matale","Distrikkaya","District",NA,NA
17,217,"LKA","Sri Lanka",17,"Matara","Distrikkaya","District",NA,NA
18,217,"LKA","Sri Lanka",18,"Moneragala","Distrikkaya","District",NA,"Monaragala"
19,217,"LKA","Sri Lanka",19,"Mullaitivu","Distrikkaya","District",NA,"Mulativu"
20,217,"LKA","Sri Lanka",20,"Nuwara Eliya","Distrikkaya","District",NA,"Nuvara Eliya"
21,217,"LKA","Sri Lanka",21,"Polonnaruwa","Distrikkaya","District",NA,NA
22,217,"LKA","Sri Lanka",22,"Puttalam","Distrikkaya","District",NA,NA
23,217,"LKA","Sri Lanka",23,"Ratnapura","Distrikkaya","District",NA,NA
24,217,"LKA","Sri Lanka",24,"Trincomalee","Distrikkaya","District",NA,NA
25,217,"LKA","Sri Lanka",25,"Vavuniya","Distrikkaya","District",NA,NA
